"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","alt_trait","mean_ES","var_ES","samp.size_ES","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"71","Purchase and Brown 2001","Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod","growth rate","Counter","growth_rate",0.348059001859308,0.0339038779490977,30,"Stock‐specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",2001,"Actinopterygii","Gadus morhua","latitude",1,"physiological","counter","graph",2,2,"CG",444,NA,"","",""
"72","Richter-Boix et al. 2010","Local selection modifies phenotypic divergence among Rana temporaria populations in the presence of gene flow","growth rate","counter","growth_rate",1.53474724760904,0.222622608820002,6,"Local selection modifies phenotypic divergence among Rana temporaria populations in the presence of gene flow",2010,"Amphibia","Rana temporaria","shade cover",2,"physiological","counter","graph",5,2,"CG",NA,NA,"shade was used as proxy for temp so no lat/long to measure over","",""
"73","Richter-Boix et al. 2010","Local selection modifies phenotypic divergence among Rana temporaria populations in the presence of gene flow","developmental rate","counter","developmental_rate",-1.48191804142649,0.213719279857333,6,"Local selection modifies phenotypic divergence among Rana temporaria populations in the presence of gene flow",2010,"Amphibia","Rana temporaria","shade cover",2,"physiological","counter","graph",5,2,"CG",NA,NA,"shade was used as proxy for temp so no lat/long to measure over","",""
"74","Robinson 2013","Evolution of growth by genetic accommodation in Icelandic freshwater stickleback","growth rate","counter","growth_rate",-0.519160911543373,0.0355798840414125,26,"Evolution of growth by genetic accommodation in Icelandic freshwater stickleback",2013,"Actinopterygii","Gasterosteus aculeatus","salinity",1,"physiological","counter","graph",2,2,"CG",NA,NA,"","",""
"75","Robinson and Partridge 2001; SA ","Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster","growth rate","Counter","growth_rate",1.18157601596149,0.010936569423827,27,"Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster",2001,"Insecta","Drosophila melanogaster","latitude",1,"physiological","counter","graph",2,2,"CG",4365,NA,"females and males split between ""experiments""","",""
"76","Sanford et al. 2006","Larval tolerance, gene flow, and the northern geographic range limit of fiddler crabs","developmental rate","Counter","developmental_rate",-1.13265588872385,0.00703241114948001,90,"Larval tolerance, gene flow, and the northern geographic range limit of fiddler crabs",2006,"Malacostraca","Minuca pugnax","latitude",1,"physiological","counter","graph",2,4,"CG",65,NA,"","",""
"77","Schultz et al. 1996","Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments","growth rate fresh mass","Counter","growth_rate",4.32580834787069,0.0371925994886048,60,"Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments",1996,"Actinopterygii","Fundulus heteroclitus","latitude",3,"physiological","counter","graph",5,3,"CG",1289,NA,"Exp 1 and 2 are generations 1 and 2","",""
"78","Schultz et al. 1996","Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments","growth rate length","Counter","growth_rate",3.83481428540929,0.0218202454134299,60,"Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments",1996,"Actinopterygii","Fundulus heteroclitus","latitude",3,"physiological","counter","graph",5,3,"CG",1289,NA,"Exp 1 and 2 are generations 1 and 2","",""
"79","Schutze and Clarke 2008","Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?","developmental rate","Counter","developmental_rate",-0.334554814573017,0.0641758996778726,9.25,"Converse Bergmann cline in a Eucalyptusherbivore, Paropsis atomaria Olivier (Coleoptera: Chrysomelidae): phenotypic plasticity or local adaptation?",2008,"Insecta","Paropsis atomaria","latitude",1,"physiological","counter","graph",2,4,"CG",1204,NA,"","",""
"80","Shama et al. 2011","Latitudinal and voltinism compensation shape thermal reaction norms for growth rates","growth rate","Counter","growth_rate",-0.155544639152147,0.0167266594935846,40,"Latitudinal and voltinism compensation shape thermal reaction norms for growth rate",2011,"Insecta","Ischnura elegans","latitude",1,"physiological","counter","graph",2,3,"",535,NA,"","",""
"81","Sniegula et al 2012, puella","Differentiation in developmental rate across geographic regions: a photoperiod driven latitude compensating mechanism?","growth rate","counter","growth_rate",1.69306674447886,0.0145746841451158,45,"Differentiation in developmental rate across geographic regions: a photoperiod driven latitude compensating mechanism?",2012,"Insecta","Coenagrion puella","latitude",1,"physiological","Counter","graph",5,2,"",896,NA,"","",""
"82","Sniegula et al. 2012","Growth Pattern Responses to Photoperiod across Latitudes in a Northern Damselfly","growth rate","counter","growth_rate",1.20474806464793,0.0289575878183859,90,"Growth Pattern Responses to Photoperiod across Latitudes in a Northern Damselfly",2012,"Insecta","Coenagrion johanssoni","photoperiod",1,"physiological","counter","graph",2,2,"CG",NA,NA,"","",""
"83","Sommer and Pearman 2003","Quantitative Genetic Analysis of Larval Life History Traits in Two Alpine Populations of Rana temporaria","mass","Counter","body_size",0.985857341644407,0.0142439030922136,74,"Quantitative Genetic Analysis of Larval Life History Traits in Two Alpine Populations of Rana temporaria",2003,"Amphibia","Rana temporaria","elevation",1,"physiological","counter","graph",2,2,"CG",NA,1080,"","",""
"84","Trussel 2002","Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity","body mass growth","Counter","growth_rate",7.30493306124225,0.506724509746025,20,"Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity",2002,"Gastropoda","Littorina obtusata","wave action",4,"physiological","counter","graph",2,2,"",NA,NA,"","",""
"85","Trussel 2002","Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity","shell length growth","Counter","growth_rate",3.12690932380975,0.112477814918111,20,"Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity",2002,"Gastropoda","Littorina obtusata","wave action",4,"physiological","counter","graph",2,2,"",NA,NA,"","",""
"86","Trussel 2002","Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity","shell mass growth","Counter","growth_rate",1.88043914889408,0.0721351317856677,20,"Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity",2002,"Gastropoda","Littorina obtusata","wave action",4,"physiological","counter","graph",2,2,"",NA,NA,"","",""
"87","Trussel 2002","Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity","shell thickness growth","Counter","growth_rate",0.217353360441098,0.05029526869725,20,"Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity",2002,"Gastropoda","Littorina obtusata","wave action",4,"physiological","counter","graph",2,2,"",NA,NA,"","",""
"88","Trussel and Etter 2001","Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail","shell growth","Counter","growth_rate",0.21909568149586,0.0224667255713966,42,"Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail",2001,"Gastropoda","Littorina obtusata","latitude",2,"physiological","both","graph",2,2,"",254,NA,"","",""
"89","Trussell 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","growth rate mass","Counter","growth_rate",2.8102537650447,0.0334821065626954,60,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","counter","graph",2,2,"RT",250,NA,"","",""
"90","Trussell 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","growth rate thickness","Counter","growth_rate",0.827022402678516,0.0181158105243907,60,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","counter","graph",2,2,"RT",250,NA,"","",""
"91","Tüzün et al. 2017","Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect","growth rate","Counter","growth_rate",0.258731984793945,0.0044820647620033,90,"Microgeographic differentiation in thermal performance curves between rural and urban populations of an aquatic insect",2017,"Insecta","Coenagrion puella","urbanisation",1,"physiological","counter","graph",2,5,"CG",NA,NA,"","",""
"92","Vernberg 1959","STUDIES ON THE PHYSIOLOGICAL VARIATION BETWEEN TROPICAL AND TEMPERATE ZONE FIDDLER CRABS OF THE GENUS UCA. II. OXYGEN CONSUMPTION OF WHOLE ORGANISMS","respiration","Counter","metabolic_rate",0.680764852788619,0.0225333472542514,25,"STUDIES ON THE PHYSIOLOGICAL VARIATION BETWEEN TROPICAL AND TEMPERATE ZONE FIDDLER CRABS OF THE GENUS UCA. II. OXYGEN CONSUMPTION OF WHOLE ORGANISMS",1959,"Malacostraca","Minuca rapax","latitude",1,"physiological","counter","table",2,4,"CG",NA,NA,"","",""
"93","Vernberg and Costlow 1966; pugnax","Studies on the Physiological Variation between Tropical and Temperate-Zone Fiddler Crabs of the Genus Uca. IV. Oxygen Consumption of Larvae and Young Crabs Reared in the Laboratory","respiration","Counter","metabolic_rate",1.32855527283391,0.0458420967048128,13,"Studies on the Physiological Variation between Tropical and Temperate-Zone Fiddler Crabs of the Genus Uca. IV. Oxygen Consumption of Larvae and Young Crabs Reared in the Laboratory",1966,"Malacostraca","Minuca pugnax","latitude",1,"physiological","counter","table",2,5,"CG",NA,NA,"data for Uca pugnax","",""
"94","Yamahira and Conover 2002","INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?","growth rate","Counter","growth_rate",9.48251322367449,0.197964972575696,30,"INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?",2002,"Actinopterygii","Menidia peninsulae","temperature",2,"physiological","counter","graph",4,5,"",NA,NA,"","",""
"95","Yamahira and Conover 2002","INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?","growth rate ","Counter","growth_rate",4.90636466069088,0.0717195818180813,30,"INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?",2002,"Actinopterygii","Menidia peninsulae","temperature",2,"physiological","counter","graph",4,5,"",NA,NA,"","",""
"96","Yamahira et al. 2007","Inter‐and intrapopulation variation in thermal reaction norms for growth rate: evolution of latitudinal compensation in ectotherms with a genetic constraint","growth rate","Counter","growth_rate",1.34392661684879,0.020930943376484,10,"Inter‐and intrapopulation variation in thermal reaction norms for growth rate: evolution of latitudinal compensation in ectotherms with a genetic constraint",2007,"Actinopterygii","Oryzias latipes","latitude",1,"physiological","counter","graph",3,6,"CG",576,NA,"","",""
