"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","Population.Number","Comparison.a.or.b.","Point.on.gradient","Treatment","Experiment..","Population.Home.Env","Comparison.population","Value","Standard.Deviation","Sample.Size","Notes","alt_trait","yi","vi","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"58","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","developmental rate","co",1,"a","","26","2",NA,"",9.37,0.432666153,52,"only used LN and HB populations, exp 1 is females, exp2 is males","developmental_rate",0.0891324180602611,0.0365082603045198,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"59","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","developmental rate","co",1,"a","","28","2",NA,"b",7.26,0.261533937,76,"only used LN and HB populations, exp 1 is females, exp2 is males","developmental_rate",0,0.0256578947368421,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"60","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","16","1",NA,"a",12.39,0.907303698,42,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.77671193063394,0.125218439818209,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"61","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","19","1",NA,"",13.4,1.422111107,79,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",2.66138934910356,0.0460174253997282,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"62","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","22","1",NA,"",12.83,1.202081528,50,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.00604083202848,0.0888030964963581,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"63","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","24","1",NA,"",12.78,0.990050504,58,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.35303952368065,0.0802157200990951,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"64","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","26","1",NA,"",12.04,0.822192192,40,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.72056926160342,0.127219570146342,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"65","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","28","1",NA,"b",12.04,0.944880945,62,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",2.60402481911403,0.0521843100765705,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"66","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","16","2",NA,"a",20.38,1.769491452,71,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.26494823220951,0.0647966335646842,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"67","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","19","2",NA,"",21.03,1.558845727,75,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.33486267236905,0.0624979933550241,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"68","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","22","2",NA,"",19.46,1.122497216,56,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",5.24610548659597,0.154465524862526,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"69","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","24","2",NA,"",18.35,1.763632615,54,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",3.27767034777097,0.0852080382331936,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"70","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","26","2",NA,"",18.23,1.225887434,52,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",4.13912781875258,0.11434659899553,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"71","Tang et al. 2017","Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle","pupal weight","co",1,"a","","28","2",NA,"b",15.08,1.656381599,76,"only used LN and HB populations, exp 1 is females, exp2 is males","body_size",2.36852631833436,0.0436383976876194,"Latitudinal cogradient variation of development time and growth rate and a negative latitudinal body weight cline in a widely distributed cabbage beetle",2017,"Insecta","Colaphellus bowringi","latitude",3,"physiological","co","table",2,6,"CG",NA,NA,"","",""
"72","Trussel 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","body growth","Co",2,"b","44.81502","North","2",1,"a",2.795154053,0.488124793,60,"","growth_rate",-1.14466028247412,0.0387926965094739,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","co","graph",2,2,"RT",250,NA,"","",""
"73","Trussel 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","body growth","Co",2,"b","44.81502","South","2",2,"b",2.558707461,0.947145042,60,"","growth_rate",-0.565340288312689,0.0346650401732895,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","co","graph",2,2,"RT",250,NA,"","",""
"74","Trussel 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","body growth","Co",2,"b","44.81502","North","1",1,"a",35.25287242,15.21962293,60,"","growth_rate",-0.637381381350178,0.0350260626053828,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","co","graph",2,2,"RT",250,NA,"","",""
"75","Trussel 2000","PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL","body growth","Co",2,"b","44.81502","South","1",2,"b",20.93944535,16.07240497,60,"","growth_rate",-0.124762787617217,0.0333981906382251,"PHENOTYPIC CLINES, PLASTICITY, AND MORPHOLOGICAL TRADE‐OFFS IN AN INTERTIDAL SNAIL",2000,"Gastropoda","Littorina obtusata","latitude",2,"physiological","co","graph",2,2,"RT",250,NA,"","",""
"76","Trussel and Etter 2001","Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail","shell thickness","Co",1,"a","","N","1",1,"a",0.706834833,0.126133405,42,"","body_shape",-2.99944098913387,0.0946242251833926,"Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail",2001,"Gastropoda","Littorina obtusata","latitude",2,"physiological","both","graph",2,2,"",254,NA,"","",""
"77","Trussel and Etter 2001","Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail","shell thickness","Co",1,"a","","S","1",2,"b",1.068011837,0.105091838,42,"","body_shape",-1.1355177272767,0.0518061933037441,"Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail",2001,"Gastropoda","Littorina obtusata","latitude",2,"physiological","both","graph",2,2,"",254,NA,"","",""
"78","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co",1,"a","low","20","1",2,"b",4.037394092,0.400914013,85,"used sample size of 85 which is midpoint between sample sizes (73-97) in their treatments","metabolic_rate",0.739673308576607,0.0251385782453549,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"79","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co",1,"a","low","20","1",2,"b",4.037394092,0.400914013,85,"used sample size of 85 which is midpoint between sample sizes (73-97) in their treatments","metabolic_rate",0.739673308576607,0.0251385782453549,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
"80","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co",1,"a","low","24","1",1,"a",4.3930158,0.445460014,85,"used sample size of 85 which is midpoint between sample sizes (73-97) in their treatments","metabolic_rate",0.746496061561097,0.0251684010880183,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"81","X and Stoks 2019","Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes","metabolic rate","co",1,"a","low","24","1",1,"a",4.3930158,0.445460014,85,"used sample size of 85 which is midpoint between sample sizes (73-97) in their treatments","metabolic_rate",0.746496061561097,0.0251684010880183,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
"82","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co",1,"a","low","20","1",1,"a",0.014957502,0.081925613,30,"","growth_rate",0.0693061487792532,0.0667066945188218,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"83","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co",1,"a","low","20","1",1,"a",0.014957502,0.081925613,30,"","growth_rate",0.0693061487792532,0.0667066945188218,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
"84","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co",1,"a","low","24","1",2,"b",0.017397321,0.095289052,30,"","growth_rate",0.0419868953608057,0.0666813574948503,"Pace of life syndrome under warming and pollution: integrating life history, behavior, and physiology across latitudes",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"used multiple populations for each group (e.g. south) so can't collect proper distance","This and Verheyen and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Debeker and Stoks 2019, , recoded as X and Stoks"
"85","X and Stoks 2019","Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs","growth rate","co",1,"a","low","24","1",2,"b",0.017397321,0.095289052,30,"","growth_rate",0.0419868953608057,0.0666813574948503,"Temperature variation makes an ectotherm more sensitive to global warming unless thermal evolution occurs",2019,"Insecta ","Ischnura elegans","latitude",1,"physiological","co","graph",2,2,"CG",NA,NA,"only used DTF 0 treatment, used multiple populations for each group (e.g. south) so can't collect proper distance","This and Debeker and stoks looks like they were the same experiment and should probably be treated as a single ""study""","Verheyen and Stoks 2019, recoded as X and Stoks"
