Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,1,5,,16.36,1.587451,63,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,1,5,,14.66,1.075174,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,1,5,,14.24,0.948683,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,1,6,b,18.93,2.179449,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,1,6,b,17.95,2.339231,95,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,1,6,b,16.6,1.581139,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,1,6,b,16.16,1.456022,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,1,6,b,14.15,0.758947,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,1,6,b,14.08,1.181101,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,1,1,a,0.144,0.008426,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,1,1,a,0.141,0.01044,109,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,1,1,a,0.132,0.006856,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,1,1,a,0.13,0.006325,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,1,1,a,0.11,0.007416,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,1,1,a,0.103,0.006481,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,1,2,,0.183,0.00866,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,1,2,,0.183,0.009327,87,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,1,2,,0.155,0.008718,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,1,2,,0.154,0.008426,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,1,2,,0.139,0.008602,74,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,1,2,,0.136,0.008888,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,1,3,,0.252,0.007483,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,1,3,,0.248,0.009644,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,1,3,,0.221,0.006708,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,1,3,,0.216,0.014967,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,1,3,,0.191,0.007141,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,1,3,,0.185,0.007071,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,1,4,,0.297,0.014697,54,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,1,4,,0.295,0.016371,67,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,1,4,,0.262,0.014283,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,1,4,,0.257,0.015492,60,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,1,4,,0.237,0.007746,60,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,1,4,,0.235,0.015232,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,1,5,,0.324,0.021633,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,1,5,,0.32,0.029547,97,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,1,5,,0.298,0.022847,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,1,5,,0.294,0.015875,63,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,1,5,,0.269,0.012649,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,1,5,,0.263,0.012649,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,1,6,b,0.405,0.026153,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,1,6,b,0.397,0.019494,95,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,1,6,b,0.337,0.018974,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,1,6,b,0.334,0.02184,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,1,6,b,0.312,0.018974,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,1,6,b,0.305,0.023622,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,2,1,a,21.22,1.766692,73,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,2,1,a,21.52,0.571314,108,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,2,1,a,21.75,0.712881,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,2,1,a,21.86,0.830482,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,2,1,a,24.14,0.617009,57,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,2,1,a,24.98,0.617009,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,2,2,,73,0.706541,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,2,2,,108,1.031891,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,2,2,,51,0.715542,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,2,2,,42,1.066583,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,2,2,,57,1.385641,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,2,2,,47,1.290736,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,2,3,,12.01,0.53768,59,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,2,3,,12.05,0.783837,96,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,2,3,,12.9,0.288444,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,2,3,,13.15,0.582409,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,2,3,,14,0.494975,50,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,2,3,,14.28,0.542586,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,2,4,,10.27,0.448999,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,2,4,,10.3,0.505569,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,2,4,,10.82,0.364005,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,2,4,,11.04,0.523832,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,2,4,,11.31,0.468615,61,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,2,4,,11.37,0.47244,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,2,5,,9.33,0.456946,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,2,5,,9.4,0.608933,103,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,2,5,,9.44,0.444972,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,2,5,,9.66,0.47244,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,2,5,,9.99,0.316228,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,2,5,,10.09,0.40694,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,2,6,b,7.26,0.268328,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,2,6,b,7.29,0.301496,101,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,2,6,b,8.24,0.402492,45,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,2,6,b,8.33,0.444972,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,2,6,b,8.52,0.397995,44,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,2,6,b,8.73,0.54,81,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,2,1,a,9.74,0.51264,73,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,2,1,a,9.81,0.727461,108,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,2,1,a,9.78,0.357071,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,2,1,a,9.95,0.388844,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,2,1,a,10.32,0.528488,57,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,2,1,a,10.4,0.411339,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,2,2,,8.53,0.529906,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,2,2,,8.52,0.56285,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,2,2,,8.44,0.536656,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,2,2,,8.49,0.533292,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,2,2,,8.51,0.519615,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,2,2,,8.47,0.553173,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,2,3,,5.76,0.460869,59,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,2,3,,5.85,0.489898,96,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,2,3,,5.77,0.504777,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,2,3,,5.75,0.509608,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,2,3,,5.74,0.494975,50,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,2,3,,5.8,0.542586,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,2,4,,4.59,0.299333,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,2,4,,4.68,0.337046,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,2,4,,4.63,0.364005,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,2,4,,4.69,0.374166,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,2,4,,4.75,0.31241,61,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,2,4,,4.81,0.23622,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,2,5,,4.04,0.228473,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,2,5,,4.06,0.202978,103,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,2,5,,4.09,0.296648,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,2,5,,4.12,0.31496,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,2,5,,4.13,0.252982,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,2,5,,4.16,0.339116,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,2,6,b,3.43,0.447214,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,2,6,b,3.48,0.502494,101,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,2,6,b,3.57,0.33541,45,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,2,6,b,3.65,0.37081,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,2,6,b,3.74,0.26533,44,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,2,6,b,3.81,0.36,81,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,2,1,a,16.31,1.623361,73,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,2,1,a,15.96,1.974538,108,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,2,1,a,13.31,0.9998,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,2,1,a,12.84,0.907304,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,2,1,a,10.97,0.754983,57,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,2,1,a,9.91,0.754122,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,2,2,,16.94,1.766352,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,2,2,,16.56,2.063783,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,2,2,,13.63,1.609969,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,2,2,,3.5,1.599875,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,2,2,,11.73,0.866025,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,2,2,,11.39,1.01415,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,2,3,,15.58,1.152172,59,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,2,3,,15.17,1.665653,96,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,2,3,,13.16,1.009554,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,2,3,,12.61,1.092016,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,2,3,,11.65,0.777817,50,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,2,3,,11.23,0.81388,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,2,4,,16.04,1.122497,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,2,4,,15.72,1.348184,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,2,4,,12.98,1.092016,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,2,4,,12.31,0.897998,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,2,4,,11.33,1.093435,61,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,2,4,,10.98,1.102361,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,2,5,,15.89,1.142366,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,2,5,,15.66,2.029778,103,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,2,5,,12.53,1.038268,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,2,5,,12.11,1.023621,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,2,5,,11.34,0.885438,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,2,5,,10.97,1.017349,46,
